minutes,player_name,TS%,AST,TO,USG,ORR,DRR,REBR,PER
0,Sylvester,0.6278039821302865,30.605823858399813,15.407508231300705,37.05068169548649,8.291368396901639,16.618005073397924,12.923612800749932,30.173179026430812
0,Marvin the Martian,0.6166496255039149,30.85886754325657,14.339997450897748,34.251294696504196,5.776496214163559,24.889949476417353,9.658985906206174,19.45536852939696
0,Road Runner,0.625374767681542,30.327802947038528,14.198591847492722,38.033652183166225,5.429830354424175,32.94573000736144,12.636393466641444,21.47414107115166
0,Foghorn Leghorn,0.6293996696069544,29.477092112808602,16.305857865295238,30.398763944242443,6.638625259078713,16.05446897203851,15.532972374028093,30.05497279160127
0,Bugs Bunny,0.6350226933821528,31.29934446485669,15.240370007451386,32.24269847275981,6.246223856391321,18.33587039076767,14.155713912524106,29.025068881478983
0,Elmer Fudd,0.6065224448278418,27.66383580771436,14.13222754187854,34.155709893215814,4.849979871878383,26.609943709469313,17.279537888405827,28.36781916922183
0,Lola Bunny,0.629215021094781,38.3016376366853,13.960734826799294,37.682313899197965,4.7270756460001575,25.049148120968447,18.980378736282468,36.27291507069911
0,Porky Pig,0.6200640167073843,28.385434794911475,15.804617575106176,33.75675411526855,7.158895455831205,21.77858570554024,13.452359678591739,25.141615852786966
0,Tasmanian Devil,0.6144794926176136,27.070015692314882,13.95816806627168,36.80654281833719,6.866011940506118,25.618203288340574,8.826248248197873,18.821515252031926
0,Gossamer,0.6116644939148695,35.846031342504915,15.048375994112408,33.70772268757269,4.598551177321334,12.640675181980468,11.353058608438307,29.177434785468396
0,Granny,0.6078668665024174,29.221368085859655,14.499399891125808,34.60397739743968,7.087843480210573,20.004129012995918,12.29243096725925,25.269470351555196
0,Wile E. Coyote,0.6141464286095263,30.113716914237834,13.986441221869116,35.184875749124714,4.906704068596085,20.660171586163468,16.28086040406549,32.02561137013754
0,Tweety,0.6106270516957935,25.172248611255693,13.966564996637237,37.397715678599084,7.835860937470081,25.097258305743154,10.041319718502178,20.530742160683236
0,Penelope,0.6240441173324217,25.455961653625245,14.112634044249909,32.50249974829673,8.110742501748843,19.832419869850508,11.028729137653022,22.87222418557241
0,Daffy Duck,0.6341518698693512,23.864587379849215,14.392067798614905,32.585187013769136,4.497354671552991,17.227815753783112,12.57646300641602,27.854466030888243
